school_name,city,postal_code,lat,lon
All Saints Catholic Secondary School Secondary School,Whitby,L1P1M1,43.8962,-78.9672
All Saints Elementary Catholic School,Whitby,L1P1M1,43.8962,-78.9672
Arch Anthony Meagher Day - PSW Catholic District School Board Night School,Oshawa,L1J8N5,43.904,-78.8844
Arch Anthony Meagher Ele Inter Lang Catholic District School Board Night School,Ajax,L1S1R6,43.8462,-79.0415
Arch Anthony Meagher Lit-Num Catholic District School Board Night School,Ajax,L1S1R6,43.8462,-79.0415
Archbishop Anthony Meagher Catholic District School Board Night School,Oshawa,L1J8N5,43.904,-78.8844
Archbishop Denis O'Connor Catholic High School,Ajax,L1S5H4,43.8462,-79.0415
Durham Catholic District School Board Summer School,Oshawa,L1J8N5,43.904,-78.8844
Durham Catholic Virtual Elem School,Oshawa,L1J7C4,43.904,-78.8844
Durham Catholic Virtual Secondary School,Oshawa,L1J7C4,43.904,-78.8844
Father Donald MacLellan Catholic Sec Sch Catholic School,Ajax,L1S1R6,43.8462,-79.0415
Father Fenelon Catholic School,Pickering,L1W2K2,43.8158,-79.1103
Father Leo J Austin Catholic Secondary School,Whitby,L1R2A2,43.9117,-78.9382
Good Shepherd Catholic School,Port Perry,L9L1T1,44.1065,-79.0351
Monsignor John Pereyma Catholic Secondary School,Oshawa,L1H3S6,43.8918,-78.8435
Monsignor John Pereyma Elementary Catholic School,Oshawa,L1H3S6,43.8918,-78.8435
Monsignor Paul Dwyer Catholic High School,Oshawa,L1J5P5,43.904,-78.8844
Monsignor Philip Coffey Catholic School,Oshawa,L1J3W6,43.904,-78.8844
Notre Dame Catholic Secondary School,Ajax,L1T4G8,43.8734,-79.0369
Sir Albert Love Catholic School,Oshawa,L1G6E6,43.9122,-78.8474
St André Bessette Catholic School,Ajax,L1T4Y4,43.8734,-79.0369
St Bernadette Catholic School,Ajax,L1S1P2,43.8462,-79.0415
St Bernard Catholic School,Whitby,L1R2A2,43.9117,-78.9382
St Bridget Catholic School,Brooklin,L1M2J8,43.9681,-78.944
St Catherine of Siena Catholic School,Ajax,L1T3P1,43.8734,-79.0369
St Christopher Catholic School,Oshawa,L1J2Y5,43.904,-78.8844
St Elizabeth Seton Catholic School,Pickering,L1V6W7,43.8449,-79.1018
St Francis de Sales Catholic School,Ajax,L1S6B3,43.8462,-79.0415
St Hedwig Catholic School,Oshawa,L1H2R2,43.8918,-78.8435
St Isaac Jogues Catholic School,Pickering,L1V1J6,43.8449,-79.1018
St James Catholic School,Ajax,L1S3E5,43.8462,-79.0415
St John Bosco Catholic School,Oshawa,L1K2P6,43.9444,-78.858
St John Paull II Catholic Elementary School,Brooklin,L1M2L9,43.9681,-78.944
St John XXIII Catholic School,Oshawa,L1H7J2,43.8918,-78.8435
St John the Evangelist Catholic School,Whitby,L1N2S3,43.89,-78.94
St Joseph Catholic School,Uxbridge,L9P1N7,44.1,-79.12
St Joseph Catholic School,Oshawa,L1K0C2,43.9444,-78.858
St Josephine Bakhita Catholic Elementary School,Ajax,L1T0B4,43.8734,-79.0369
St Jude Catholic School,Ajax,L1T3H5,43.8734,-79.0369
St Kateri Tekakwitha Catholic School,Oshawa,L1K2Y8,43.9444,-78.858
St Leo Catholic School,Brooklin,L1M1H2,43.9681,-78.944
St Luke the Evangelist Catholic School,Whitby,L1P1N9,43.8962,-78.9672
St Marguerite d'Youville Catholic School,Whitby,L1N6B1,43.89,-78.94
St Mark the Evangelist Catholic School,Whitby,L1R1Z7,43.9117,-78.9382
St Mary Catholic Secondary School,Pickering,L1V1R9,43.8449,-79.1018
St Matthew the Evangelist Catholic School,Whitby,L1R1S6,43.9117,-78.9382
St Monica Catholic School,Pickering,L1V1E3,43.8449,-79.1018
St Patrick Catholic School,Ajax,L1T3N5,43.8734,-79.0369
St Paul Catholic School,Whitby,L1N3K6,43.89,-78.94
St Teresa of Calcutta Catholic School,Ajax,L1Z1H1,43.86,-79.02
St Theresa Catholic School,Whitby,L1N3S4,43.89,-78.94
St Thomas Aquinas Catholic School,Oshawa,L1J1V9,43.904,-78.8844
St Wilfrid Catholic School,Pickering,L1X2S9,43.84,-79.09
St. Anne Catholic Elementary School,Oshawa,L1L0H9,43.963,-78.9742
Adelaide Mclaughlin Public School,Oshawa,L1J5P1,43.904,-78.8844
Adult & Continuing Education Centre,Oshawa,L1H4A3,43.8918,-78.8435
Ajax High School,Ajax,L1S1P2,43.8462,-79.0415
Alexander Graham Bell Public School,AJAX,L1T3T6,43.8734,-79.0369
Altona Forest Public School,PICKERING,L1V7A3,43.8449,-79.1018
Anderson Collegiate and Vocational Institute,Whitby,L1N3V6,43.89,-78.94
Applecroft Public School,Ajax,L1T3H5,43.8734,-79.0369
Bayview Heights Public School,Pickering,L1W1J6,43.8158,-79.1103
Beau Valley Public School,OSHAWA,L1G3G3,43.9122,-78.8474
Bellwood Public School,Whitby,L1N8M4,43.89,-78.94
Biidaasige Mandamin Public School,Pickering,L1W1W7,43.8158,-79.1103
Blair Ridge Public School,Whitby,L1M0E8,43.9681,-78.944
Bobby Orr Public School,Oshawa,L1H8V9,43.8918,-78.8435
Bolton C Falby Public School,Ajax,L1S1N4,43.8462,-79.0415
Brock High School,CANNINGTON,L0E1E0,44.07,-78.8
Brooklin High School,Whitby,L1M0K7,43.9681,-78.944
Brooklin Village Public School,Brooklin,L1M2L5,43.9681,-78.944
C E Broughton Public School,Whitby,L1N9L6,43.89,-78.94
Cadarackque Public School,Ajax,L1Z1C7,43.86,-79.02
Captain Michael VandenBos Public School,WHITBY,L1P1N3,43.8962,-78.9672
Carruthers Creek Public School,AJAX,L1S7N6,43.8462,-79.0415
Cartwright Central Public School,BLACKSTOCK,L0B1B0,44.05,-78.95
Chris Hadfield Public School,Whitby,L1M0A5,43.9681,-78.944
Clara Hughes Public School,Oshawa,L1H6T9,43.8918,-78.8435
Collaborative Community Connections,Oshawa,L1H1W6,43.8918,-78.8435
College Hill Public School,OSHAWA,L1J6R2,43.904,-78.8844
Colonel J E Farewell Public School,Whitby,L1P1J1,43.8962,-78.9672
Coronation Public School,Oshawa,L1G2A4,43.9122,-78.8474
DCE - Under 21 Collegiate Institute and Vocational School,Oshawa,L1H4A3,43.8918,-78.8435
DCE- Literacy & Numeracy,Oshawa,L1H4A3,43.8918,-78.8435
DCE-International Languages,Oshawa,L1H4A3,43.8918,-78.8435
DDSB@Home Secondary School,Whitby,L1R2K6,43.9117,-78.9382
DDSB@Home- Elementary Public School,Whitby,L1R2K6,43.9117,-78.9382
David Bouchard Public School,Oshawa,L1H6C9,43.8918,-78.8435
Donald A Wilson Secondary School,Whitby,L1P1Y1,43.8962,-78.9672
Dr C F Cannon Public School,OSHAWA,L1J3S2,43.904,-78.8844
Dr Robert Thornton Public School,WHITBY,L1N3L4,43.89,-78.94
Dr Roberta Bondar Public School,Ajax,L1T3L3,43.8734,-79.0369
Dr S J Phillips Public School,Oshawa,L1G4V5,43.9122,-78.8474
Duffin's Bay Public School,Ajax,L1S3G4,43.8462,-79.0415
Dunbarton High School,Pickering,L1V1G2,43.8449,-79.1018
Durham Alternative Secondary School,Oshawa,L1H4H4,43.8918,-78.8435
Durham Continuing Education,OSHAWA,L1H4A3,43.8918,-78.8435
Durham Continuing Education Summer School,Oshawa,L1H4A3,43.8918,-78.8435
Eagle Ridge Public School,AJAX,L1T4N1,43.8734,-79.0369
Earl A Fairman Public School,Whitby,L1N2W8,43.89,-78.94
Eastdale Collegiate and Vocational Institute,Oshawa,L1G6L4,43.9122,-78.8474
Elizabeth B Phin Public School,Pickering,L1V1N1,43.8449,-79.1018
Elsie MacGill Public School,Oshawa,L1K0C8,43.9444,-78.858
Fairport Beach Public School,Pickering,L1W2H5,43.8158,-79.1103
Fallingbrook Public School,WHITBY,L1R2G2,43.9117,-78.9382
Forest View Public School,Oshawa,L1H7H7,43.8918,-78.8435
Fostering Family Relations,Oshawa,L1J8P7,43.904,-78.8844
Fostering Family Relations,Oshawa,L1J1G5,43.904,-78.8844
Frenchman's Bay Public School,PICKERING,L1W2H7,43.8158,-79.1103
G L Roberts Collegiate and Vocational Institute,Oshawa,L1J1G5,43.904,-78.8844
Gandatsetiagon Public School,Pickering,L1V3R2,43.8449,-79.1018
Glen Dhu Public School,Whitby,L1R1M7,43.9117,-78.9382
Glen Street Public School,Oshawa,L1J3T9,43.904,-78.8844
Glengrove Public School,Pickering,L1V1X2,43.8449,-79.1018
Glenholme Public School,Oshawa,L1J1Y4,43.904,-78.8844
Glenholme Public School,Ajax,L1S1N4,43.8462,-79.0415
Glenholme Public School,Oshawa,L1H4H4,43.8918,-78.8435
Glenholme Public School,Ajax,L1S3G3,43.8462,-79.0415
Glenholme Public School,Whitby,L1N3L4,43.89,-78.94
Glenholme Public School,Sunderland,L0C1H0,44.08,-79.1
Glenholme Public School,Oshawa,L1J1Y4,43.904,-78.8844
Glenholme Public School,Oshawa,L1J3S2,43.904,-78.8844
Glenholme Public School,Sunderland,L0C1H0,44.08,-79.1
Glenholme/Grove School,Oshawa,L1H4H4,43.8918,-78.8435
Glenholme/Grove Secondary School (Elementary),Oshawa,L1H4H4,43.8918,-78.8435
Goodwood Public School,GOODWOOD,L0C1A0,44.08,-79.1
Gordon B Attersley Public School,OSHAWA,L1K1X8,43.9444,-78.858
Greenbank Public School,GREENBANK,L0C1B0,44.08,-79.1
Grove School,Oshawa,L1H4H4,43.8918,-78.8435
Grove Secondary School,Cannington,L0E1E0,44.07,-78.8
Grove Secondary School,Whitby,L1N5S9,43.89,-78.94
Grove Secondary School,Oshawa,L1J1G5,43.904,-78.8844
Grove Secondary School,WHITBY,L1N5C7,43.89,-78.94
Grove Secondary School,Ajax,L1S6M4,43.8462,-79.0415
Grove Secondary School,Oshawa,L1H4G3,43.8918,-78.8435
Grove Secondary School,Ajax,L1T2W4,43.8734,-79.0369
Grove Secondary School,Ajax,L1S6M7,43.8462,-79.0415
Grove Secondary School,Whitby,L1N3V6,43.89,-78.94
Grove Secondary School,Oshawa,L1G1C7,43.9122,-78.8474
Grove Secondary School,Pickering,L1V1G2,43.8449,-79.1018
Grove Secondary School,Oshawa,L1G2B9,43.9122,-78.8474
Grove Secondary School,Uxbridge,L9P1K5,44.1,-79.12
Grove Secondary School,Oshawa,L1G2B9,43.9122,-78.8474
Grove Secondary School,Oshawa,L1J5P1,43.904,-78.8844
Grove Secondary School,Whitby,L1N3V6,43.89,-78.94
Grove Secondary School,Oshawa,L1G4R7,43.9122,-78.8474
Grove Secondary School,Ajax,L1S2M6,43.8462,-79.0415
Grove Secondary School,Oshawa,L1J1G5,43.904,-78.8844
Grove Secondary School,Oshawa,L1J1Y4,43.904,-78.8844
Grove Secondary School,Oshawa,L1S1P2,43.8462,-79.0415
Grove Secondary School,Uxbridge,L6P1K5,43.85,-79.0
Grove Secondary School,Oshawa,L1H4G3,43.8918,-78.8435
Grove Secondary School,Ajax,L1T2W7,43.8734,-79.0369
Grove Secondary School,Oshawa,L1H4H2,43.8918,-78.8435
Grove Secondary School (Elementary),Pickering,L1W1W7,43.8158,-79.1103
Grove Secondary School Secondary School (Elementary),Oshawa,L1H4G1,43.8918,-78.8435
Grove Secondary School Secondary School (Elementary),Oshawa,L1J8P7,43.904,-78.8844
Harmony Heights Public School,Oshawa,L1K1M2,43.9444,-78.858
Henry Street High School,WHITBY,L1N5C7,43.89,-78.94
Highbush Public School,Pickering,L1V5M5,43.8449,-79.1018
Hillsdale Public School,Oshawa,L1G5T6,43.9122,-78.8474
J Clarke Richardson Collegiate Institute,AJAX,L1T4G8,43.8734,-79.0369
Jack Miner Public School,WHITBY,L1R2N1,43.9117,-78.9382
Jeanne Sauvé Public School,Oshawa,L1K0X1,43.9444,-78.858
John Dryden Public School,Whitby,L1R2A1,43.9117,-78.9382
Joseph Gould Public School,UXBRIDGE,L9P1M6,44.1,-79.12
Julie Payette,Whitby,L1N3W4,43.89,-78.94
Kedron Public School,OSHAWA,L1H7K5,43.8918,-78.8435
Lake Ridge Community Support Services,Whitby,L1N3V6,43.89,-78.94
Lakeside Public School,Ajax,L1S4X1,43.8462,-79.0415
Lakewoods Public School,Oshawa,L1J1G5,43.904,-78.8844
Lester B Pearson Public School,Ajax,L1T2M9,43.8734,-79.0369
Lincoln Alexander Public School,Ajax,L1S6A9,43.8462,-79.0415
